point,X,Y
1,674605.03,3893197.15
2,674600.13,3893166.28
3,674585.94,3893153.52
4,674563.44,3893157.16
5,674556.51,3893158.76
6,674555.13,3893164.99
7,674541.02,3893182.85
8,674525.66,3893203.72
9,674518.77,3893213.45
10,674518.06,3893216.92
11,674517.37,3893225.59
12,674517.98,3893230.22
13,674521.52,3893237.98
14,674524.68,3893243.71
15,674526.91,3893251.16
16,674528.90,3893250.93
17,674534.35,3893251.47
18,674551.99,3893252.46
19,674566.80,3893252.66
20,674581.35,3893253.41
21,674608.06,3893256.28
22,674609.08,3893251.29
23,674610.16,3893248.06
24,674615.37,3893248.54
25,674618.50,3893249.76
26,674627.94,3893253.81
27,674639.81,3893259.24
28,674645.16,3893260.28
29,674648.11,3893261.40
30,674653.78,3893263.59
31,674657.92,3893274.71
32,674659.37,3893277.04
33,674689.51,3893279.09
34,674680.15,3893269.91
35,674653.37,3893243.62
36,674605.03,3893197.15
